Numero da loja,Numero do produto,Mes da venda,Ano da venda,Quantidade vendida
40,21,2,2022,32
40,22,2,2022,0
40,23,2,2022,10
40,24,2,2022,44
40,25,2,2022,20
40,26,2,2022,3
40,27,2,2022,31
40,28,2,2022,28
40,29,2,2022,46
40,30,2,2022,2
40,31,2,2022,3
40,32,2,2022,44
40,33,2,2022,2
40,34,2,2022,5
40,35,2,2022,0
40,36,2,2022,23
40,37,2,2022,14
40,38,2,2022,9
40,39,2,2022,18
40,40,2,2022,20
40,41,2,2022,8
40,42,2,2022,38
40,43,2,2022,46
40,44,2,2022,8
40,45,2,2022,39
40,46,2,2022,34
40,47,2,2022,11
40,48,2,2022,2
40,49,2,2022,33
40,50,2,2022,8
41,1,2,2022,21
41,2,2,2022,45
41,3,2,2022,45
41,4,2,2022,35
41,5,2,2022,31
41,6,2,2022,29
41,7,2,2022,38
41,8,2,2022,34
41,9,2,2022,47
41,10,2,2022,15
41,11,2,2022,45
41,12,2,2022,10
41,13,2,2022,35
41,14,2,2022,30
41,15,2,2022,37
41,16,2,2022,47
41,17,2,2022,15
41,18,2,2022,35
41,19,2,2022,37
41,20,2,2022,6
41,21,2,2022,30
41,22,2,2022,20
41,23,2,2022,21
41,24,2,2022,8
41,25,2,2022,22
41,26,2,2022,17
41,27,2,2022,1
41,28,2,2022,16
41,29,2,2022,41
41,30,2,2022,3
41,31,2,2022,43
41,32,2,2022,41
41,33,2,2022,38
41,34,2,2022,44
41,35,2,2022,27
41,36,2,2022,18
41,37,2,2022,31
41,38,2,2022,18
41,39,2,2022,0
41,40,2,2022,1
41,41,2,2022,7
41,42,2,2022,31
41,43,2,2022,1
41,44,2,2022,44
41,45,2,2022,35
41,46,2,2022,10
41,47,2,2022,33
41,48,2,2022,17
41,49,2,2022,11
41,50,2,2022,12
42,1,2,2022,5
42,2,2,2022,4
42,3,2,2022,1
42,4,2,2022,26
42,5,2,2022,42
42,6,2,2022,8
42,7,2,2022,9
42,8,2,2022,12
42,9,2,2022,6
42,10,2,2022,26
42,11,2,2022,41
42,12,2,2022,9
42,13,2,2022,18
42,14,2,2022,33
42,15,2,2022,41
42,16,2,2022,9
42,17,2,2022,7
42,18,2,2022,36
42,19,2,2022,19
42,20,2,2022,11
42,21,2,2022,19
42,22,2,2022,24
42,23,2,2022,26
42,24,2,2022,20
42,25,2,2022,43
42,26,2,2022,4
42,27,2,2022,8
42,28,2,2022,38
42,29,2,2022,47
42,30,2,2022,49
42,31,2,2022,22
42,32,2,2022,49
42,33,2,2022,49
42,34,2,2022,32
42,35,2,2022,19
42,36,2,2022,3
42,37,2,2022,7
42,38,2,2022,20
42,39,2,2022,20
42,40,2,2022,50
42,41,2,2022,39
42,42,2,2022,11
42,43,2,2022,14
42,44,2,2022,27
42,45,2,2022,0
42,46,2,2022,38
42,47,2,2022,5
42,48,2,2022,21
42,49,2,2022,17
42,50,2,2022,50
43,1,2,2022,42
43,2,2,2022,18
43,3,2,2022,45
43,4,2,2022,11
43,5,2,2022,40
43,6,2,2022,12
43,7,2,2022,18
43,8,2,2022,32
43,9,2,2022,21
